Time,Volt_In,Volt_Out
282522,1311,0
282523,1735,0
282524,2174,0
282525,2539,0
282526,2841,0
282526,3041,0
282527,3080,0
282528,2977,0
282529,2734,0
282530,2395,0
282530,1979,0
282531,1552,0
282532,1181,0
282533,897,0
282534,705,0
282534,667,0
282535,760,0
282536,979,0
282537,1314,0
282537,1694,0
282538,2103,0
282539,2518,0
282540,2810,0
282541,3017,1422
282543,2590,2132
282545,1663,2409
282548,677,2112
282551,1333,1400
282553,2258,577
282556,3075,80
282557,2714,67
282560,1290,558
282562,707,1354
282565,1207,2122
282568,2596,2409
282570,3063,2148
282572,2394,1445
282574,1437,622
282577,665,83
282579,1034,64
282582,2418,541
282584,3066,1319
282586,2585,2077
282590,808,2361
282592,715,1864
282595,1807,900
282598,2996,251
282599,2973,51
282602,1764,374
282604,935,1100
282607,831,1951
282610,2140,2419
282611,2911,2358
282614,2778,1764
282616,1932,945
282619,745,270
282621,759,48
282624,1946,358
282626,3040,1054
282628,2922,1874
282631,1580,2396
282633,826,2377
282636,917,1806
282639,2313,993
282640,2990,296
282643,2645,51
282645,1731,338
282648,691,1025
282650,850,1851
282653,2161,2400
282655,3075,2393
282657,2760,1848
282660,1369,1045
282662,741,335
282665,1106,48
282667,2018,287
282669,3056,987
282672,2461,1800
282674,1513,2377
282677,661,2409
282679,990,1877
282682,2375,1077
282684,3074,354
282686,2587,61
282689,1177,277
282691,680,935
282694,1296,1770
282696,2241,2361
282698,3077,2419
282701,2248,1938
282703,1309,1119
282706,683,390
282708,1163,51
282711,2579,258
282712,3064,900
282715,2396,1748
282718,992,2332
282720,664,2432
282723,1513,1970
282725,2446,1167
282727,3051,422
282731,1760,0
282731,1355,0
282732,1009,0
282733,765,0
282734,632,0
282735,635,0
282735,778,0
282736,1060,0
282737,1444,0
282738,1826,0
282739,2253,0
282739,2616,0
282740,2876,0
282741,3022,0
282742,2996,0
282743,2842,0
282743,2541,0
282744,2179,0
282745,1732,0
282746,1341,0
282747,1011,0
282747,755,0
282748,622,0
282749,657,0
282750,803,0
282751,1100,0
282751,1475,0
282752,1907,0
282753,2336,0
282754,2660,0
282755,2905,0
282755,3017,0
282756,2976,0
282757,2786,0
282758,2495,0
282759,2125,0
282759,1691,0
282760,1298,0
282761,963,0
282762,738,0
282762,623,0
282763,660,0
282764,841,0
282765,1108,0
282766,1493,0
282766,1881,0
282767,2273,0
282768,2652,0
282769,2888,0
282770,3006,0
282770,2990,0
282771,2822,0
