Timestamps,Volts
3257.19,1.29
3257.191,1.31
3257.193,1.32
3257.194,1.25
3257.195,1.28
3257.196,1.28
3257.198,1.33
3257.199,1.32
3257.2,1.32
3257.201,1.33
3257.203,1.32
3257.204,1.28
