Time,Volt_In,Volt_Out
2759218,0.43,128
2759221,0.38,115
2759224,0.34,102
2759228,0.31,91
2759231,0.27,80
2759234,0.23,69
2759237,0.2,59
2759241,0.17,50
2759244,0.15,42
2759247,0.12,34
2759251,0.1,28
2759254,0.08,21
2759257,0.06,16
2759260,0.05,11
2759264,0.03,7
2759267,0.02,4
2759270,0.01,2
2759273,0.01,0
2759277,0.03,0
2759280,0.03,0
2759283,0.03,0
2759286,0.03,2
2759290,0.03,4
2759293,0.03,7
2759296,0.05,11
2759299,0.06,16
2759303,0.08,21
2759306,0.1,27
2759309,0.12,34
2759312,0.15,42
2759316,0.17,50
2759319,0.2,59
2759322,0.24,69
2759326,0.27,79
2759329,0.3,90
2759332,0.34,102
2759335,0.38,114
2759339,0.42,127
2759342,0.47,141
2759345,0.51,155
2759348,0.56,169
2759352,0.61,184
2759355,0.66,200
2759358,0.71,216
2759362,0.76,233
2759365,0.82,250
2759368,0.87,267
2759371,0.93,285
2759375,0.99,303
2759378,1.05,321
2759381,1.11,340
2759384,1.17,359
2759388,1.23,378
2759391,1.29,397
2759394,1.36,417
2759398,1.42,437
2759401,1.49,456
2759404,1.55,476
2759407,1.62,496
2759411,1.68,516
2759414,1.74,536
2759417,1.81,556
2759420,1.87,576
2759424,1.94,596
2759427,2,615
2759430,2.07,635
2759433,2.13,654
2759437,2.19,673
2759440,2.25,692
2759443,2.31,711
2759447,2.37,729
2759450,2.43,747
2759453,2.49,764
2759456,2.54,781
2759460,2.59,798
2759463,2.65,815
2759466,2.7,830
2759469,2.75,846
2759473,2.8,861
2759479,2.89,889
2759482,2.93,902
2759486,2.97,914
2759489,3.01,926
2759492,3.04,938
2759495,3.07,948
2759498,3.11,958
2759502,3.14,968
2759505,3.17,976
2759508,3.19,984
2759512,3.22,992
2759515,3.24,998
2759518,3.26,1004
2759521,3.28,1009
2759525,3.29,1013
2759528,3.3,1016
2759531,3.3,1019
2759534,3.3,1021
2759538,3.3,1022
2759541,3.3,1022
2759544,3.3,1022
2759548,3.3,1021
2759551,3.3,1019
2759554,3.3,1016
2759557,3.29,1013
2759561,3.27,1008
2759564,3.26,1003
2759567,3.24,997
2759570,3.22,991
2759574,3.19,984
2759577,3.17,976
2759580,3.14,967
2759583,3.1,957
2759587,3.08,947
2759590,3.04,937
2759593,3,925
2759596,2.97,913
2759600,2.93,901
2759603,2.87,887
2759606,2.84,873
2759610,2.79,859
2759613,2.74,844
2759616,2.69,829
2759619,2.64,813
2759623,2.59,797
2759626,2.54,780
2759629,2.48,763
2759632,2.42,745
2759636,2.36,727
2759639,2.31,709
2759642,2.24,690
2759646,2.18,671
2759649,2.12,652
2759652,2.06,633
2759655,1.99,613
2759659,1.93,594
2759662,1.87,574
2759665,1.81,554
2759668,1.74,534
2759672,1.67,514
2759675,1.61,494
2759678,1.54,474
2759681,1.48,454
2759685,1.42,435
2759688,1.35,415
2759691,1.29,395
2759695,1.22,376
2759698,1.17,357
2759701,1.1,338
2759704,1.04,319
2759708,0.98,301
2759711,0.92,283
2759714,0.86,265
2759717,0.81,248
2759721,0.76,231
2759724,0.7,214
2759727,0.65,198
2759730,0.6,183
2759734,0.55,168
2759737,0.5,153
2759740,0.46,139
2759743,0.42,126
2759747,0.38,113
2759750,0.34,101
2759753,0.3,89
2759757,0.26,78
2759760,0.23,68
2759763,0.2,58
2759766,0.17,49
2759770,0.14,41
2759773,0.12,33
2759776,0.1,27
2759783,0.06,15
2759786,0.05,11
2759789,0.03,7
2759792,0.02,4
2759796,0.02,2
2759799,0.01,0
2759802,0.03,0
2759805,0.03,0
2759809,0.03,1
2759812,0.03,2
2759815,0.03,5
2759818,0.04,8
2759822,0.05,12
2759825,0.07,17
2759828,0.08,22
2759831,0.1,28
2759835,0.13,35
2759838,0.15,43
2759841,0.17,51
2759845,0.2,60
2759848,0.24,70
2759851,0.27,81
2759854,0.31,92
2759858,0.35,104
2759861,0.39,116
2759864,0.43,129
2759868,0.48,143
2759871,0.51,157
2759874,0.56,171
2759877,0.62,187
2759881,0.66,202
2759884,0.72,218
2759887,0.77,235
2759890,0.82,252
2759894,0.88,270
2759897,0.94,287
2759900,0.99,305
2759903,1.06,324
2759907,1.12,343
2759910,1.18,362
2759913,1.24,381
2759916,1.3,400
2759920,1.37,420
2759923,1.44,440
2759926,1.5,459
2759930,1.56,479
2759933,1.62,499
2759936,1.69,519
2759939,1.75,539
2759943,1.82,559
2759946,1.89,579
2759949,1.95,599
2759952,2.01,618
2759956,2.07,638
2759959,2.14,657
2759962,2.2,676
2759965,2.26,695
2759968,2.32,713
2759972,2.38,732
2759975,2.44,749
2759978,2.49,767
2759981,2.55,784
2759985,2.6,801
2759988,2.66,817
2759991,2.71,833
2759994,2.75,848
2759998,2.81,863
2760001,2.85,877
2760004,2.89,891
2760007,2.94,904
2760011,2.98,916
2760014,3.02,928
2760017,3.05,939
2760020,3.08,950
2760023,3.12,960
2760027,3.15,969
2760030,3.18,978
2760033,3.2,985
2760036,3.22,993
2760040,3.24,999
2760043,3.26,1005
2760046,3.28,1009
2760049,3.29,1014
2760052,3.3,1017
2760056,3.3,1019
2760059,3.3,1021
2760062,3.3,1022
2760065,3.3,1022
2760069,3.3,1022
2760072,3.3,1021
2760075,3.3,1019
2760078,3.3,1016
2760082,3.29,1012
2760085,3.27,1008
2760088,3.25,1002
2760091,3.23,996
2760095,3.21,990
2760098,3.19,982
2760101,3.16,974
2760105,3.13,965
2760108,3.11,956
2760111,3.07,946
2760114,3.04,935
2760118,3,923
2760121,2.96,911
2760124,2.92,899
2760128,2.87,885
2760131,2.83,871
2760134,2.79,857
2760137,2.73,842
2760141,2.68,826
2760144,2.63,810
2760147,2.58,794
2760150,2.52,777
2760154,2.47,760
2760157,2.41,742
2760160,2.35,724
2760164,2.3,706
2760167,2.23,687
2760170,2.17,668
2760173,2.11,649
2760177,2.05,630
2760180,1.99,610
2760183,1.93,591
2760186,1.86,571
2760190,1.8,551
2760193,1.73,531
2760196,1.67,511
2760200,1.6,491
2760203,1.53,471
2760206,1.47,451
2760209,1.41,432
2760213,1.34,412
2760216,1.28,392
2760219,1.22,373
2760222,1.15,354
2760226,1.09,335
2760229,1.03,316
2760232,0.97,298
2760235,0.91,280
2760239,0.86,262
2760242,0.8,245
2760245,0.75,228
2760248,0.68,212
2760252,0.64,196
2760255,0.59,180
2760258,0.54,165
2760261,0.5,151
2760265,0.45,137
2760268,0.41,124
2760271,0.37,111
2760274,0.33,99
2760278,0.29,87
2760281,0.26,76
2760284,0.23,66
2760288,0.19,57
2760291,0.16,48
2760294,0.14,40
2760297,0.12,32
2760301,0.1,26
2760304,0.08,20
2760307,0.06,15
2760310,0.04,10
2760314,0.03,6
2760317,0.02,4
2760320,0.01,1
2760323,0.01,0
2760327,0.03,0
2760330,0.03,0
2760333,0.02,1
2760336,0.03,3
2760340,0.03,5
2760343,0.04,8
2760346,0.05,12
2760349,0.07,17
2760353,0.09,23
2760356,0.1,29
2760359,0.13,36
2760362,0.15,44
2760366,0.18,53
2760369,0.21,62
2760372,0.24,72
2760376,0.28,82
2760379,0.31,94
2760382,0.35,105
2760385,0.39,118
2760390,0.46,138
2760394,0.5,152
2760397,0.55,166
2760400,0.59,181
